ID,Nationality,Club,Age,Value,Wage,Name,Special
41,Spain,FC Barcelona,33,29.5M,260K,Iniesta,2073
202126,England,Tottenham Hotspur,23,59M,165K,H. Kane,2057
198710,Colombia,FC Bayern Munich,25,56M,250K,J. Rodríguez,2118
197781,Spain,Real Madrid CF,25,56.5M,250K,Isco,2105
197445,Austria,FC Bayern Munich,25,44.5M,150K,D. Alaba,2278
192505,Belgium,Manchester United,24,59M,210K,R. Lukaku,1997
191043,Brazil,Juventus,26,44M,175K,Alex Sandro,2207
189596,Germany,FC Bayern Munich,27,47.5M,190K,T. Müller,2078
189511,Spain,FC Barcelona,28,36M,250K,Sergio Busquets,1998
189242,Brazil,Liverpool,25,56M,205K,Coutinho,2049
188350,Germany,Borussia Dortmund,28,45M,120K,M. Reus,2157
184087,Belgium,Tottenham Hotspur,28,40.5M,165K,T. Alderweireld,2047
179944,Brazil,Chelsea,30,33M,190K,David Luiz,2123
179844,Spain,Chelsea,28,46M,235K,Diego Costa,1984
178518,Belgium,Roma,29,42.5M,130K,R. Nainggolan,2286
177610,Spain,FC Bayern Munich,28,36M,165K,Javi Martínez,1973
175943,Belgium,Napoli,30,43M,135K,D. Mertens,2035
172879,Greece,Borussia Dortmund,29,34.5M,110K,Sokratis,1885
168609,Brazil,Inter,32,25.5M,115K,Miranda,1890
165153,France,Real Madrid CF,29,44.5M,295K,K. Benzema,1950
162895,Spain,Chelsea,30,41M,210K,Cesc Fàbregas,2118
156616,France,FC Bayern Munich,34,22.5M,175K,F. Ribéry,1965
120533,Portugal,Beşiktaş JK,34,13.5M,94K,Pepe,1839
48940,Czech Republic,Arsenal,35,10.5M,92K,P. Čech,1206
208418,Belgium,Atlético Madrid,23,51.5M,77K,Y. Carrasco,1991
201535,France,Real Madrid CF,24,46.5M,175K,R. Varane,1875
200145,Brazil,Real Madrid CF,25,42M,195K,Casemiro,2138
198219,Italy,Napoli,26,45M,115K,L. Insigne,1949
193301,France,Arsenal,26,48.5M,180K,A. Lacazette,2063
193041,Costa Rica,Real Madrid CF,30,24.5M,165K,K. Navas,1301
192883,Armenia,Manchester United,28,39M,195K,H. Mkhitaryan,2148
192593,Croatia,AS Monaco,32,22M,46K,D. Subašić,1305
192563,Germany,Bayer 04 Leverkusen,25,34M,61K,B. Leno,1247
192448,Germany,FC Barcelona,25,35.5M,155K,M. ter Stegen,1274
190547,Poland,AS Monaco,29,30M,60K,K. Glik,1612
189332,Spain,FC Barcelona,28,30.5M,215K,Jordi Alba,2206
186942,Germany,Manchester City,26,46M,190K,I. Gündoğan,2148
184432,Spain,Chelsea,27,37.5M,160K,Azpilicueta,2099
183898,Argentina,Paris Saint-Germain,29,37.5M,145K,A. Di María,2115
180206,Bosnia Herzegovina,Juventus,27,43.5M,160K,M. Pjanić,2172
173210,Italy,Juventus,31,33M,160K,C. Marchisio,2210
172871,Belgium,Tottenham Hotspur,30,28.5M,130K,J. Vertonghen,2079
170890,France,Juventus,30,28.5M,145K,B. Matuidi,2172
167628,France,AS Saint-Étienne,30,24.5M,49K,S. Ruffier,1257
164169,Brazil,Atlético Madrid,31,25M,81K,Filipe Luís,2134
139720,Belgium,Manchester City,31,26M,170K,V. Kompany,1913
137186,Italy,Juventus,36,5M,105K,A. Barzagli,1750
225508,Ivory Coast,Manchester United,23,35.5M,150K,E. Bailly,1890
220834,Spain,Real Madrid CF,21,46M,175K,Marco Asensio,1998
218667,Portugal,Manchester City,22,43.5M,165K,Bernardo Silva,2012
212218,France,Athletic Club de Bilbao,23,35.5M,36K,A. Laporte,1919
211117,England,Tottenham Hotspur,21,43M,115K,D. Alli,2122
208722,Senegal,Liverpool,25,39M,175K,S. Mané,2046
204963,Spain,Real Madrid CF,25,32M,195K,Carvajal,2039
202166,Germany,Paris Saint-Germain,23,39.5M,120K,J. Draxler,2017
201399,Argentina,Inter,24,42M,105K,M. Icardi,1866
201153,Spain,Chelsea,24,41M,170K,Morata,1862
201024,Senegal,Napoli,26,32.5M,96K,K. Koulibaly,1610
200316,Germany,1. FC Köln,24,31M,39K,T. Horn,1260
193747,Spain,Atlético Madrid,25,39.5M,84K,Koke,2129
192774,Greece,Roma,26,31.5M,96K,K. Manolas,1638
192227,Germany,Arsenal,25,31.5M,145K,S. Mustafi,1942
191740,Spain,Manchester United,27,32M,190K,Ander Herrera,2213
189712,Netherlands,Roma,27,35M,105K,K. Strootman,2165
189505,Spain,Chelsea,29,30.5M,200K,Pedro,1987
189117,Switzerland,Borussia Dortmund,26,26M,69K,R. Bürki,1257
184120,Spain,Villarreal CF,33,18.5M,59K,Bruno,2059
181458,Croatia,Inter,28,31.5M,110K,I. Perišić,2078
180930,Bosnia Herzegovina,Roma,31,28M,115K,E. Džeko,1861
180403,Brazil,Chelsea,28,31.5M,200K,Willian,2061
179846,Germany,Juventus,30,29M,160K,S. Khedira,2157
179783,Germany,FC Schalke 04,28,25M,54K,R. Fährmann,1190
178750,Spain,Villarreal CF,28,25M,46K,Sergio Asenjo,1341
178088,Spain,Manchester United,29,30.5M,195K,Juan Mata,1982
177509,Morocco,Juventus,30,23M,145K,M. Benatia,1764
177388,France,Olympique de Marseille,30,29.5M,60K,D. Payet,2076
167397,Colombia,AS Monaco,31,28M,68K,Falcao,2010
165229,France,Arsenal,31,21M,150K,L. Koscielny,1866
164468,England,Chelsea,31,21M,160K,G. Cahill,1839
146530,Brazil,Paris Saint-Germain,34,9M,115K,Dani Alves,2208
143076,Argentina,Atalanta,29,31M,60K,A. Gómez,2013
106231,Spain,Athletic Club de Bilbao,36,11M,38K,Aduriz,1987
231747,France,Paris Saint-Germain,18,41.5M,31K,K. Mbappé,2050
231443,France,FC Barcelona,20,40M,150K,O. Dembélé,1969
220971,Guinea,RB Leipzig,22,34M,68K,N. Keïta,2055
216460,Uruguay,Atlético Madrid,22,28.5M,53K,J. Giménez,1760
215316,Argentina,Real Sociedad,25,25.5M,28K,G. Rulli,1284
213565,France,AS Monaco,21,38.5M,37K,T. Lemar,2171
212814,Portugal,Inter,24,34M,70K,João Mário,2098
212190,Germany,FC Bayern Munich,21,30.5M,78K,N. Süle,1630
210257,Brazil,Manchester City,23,26M,87K,Ederson,1320
209499,Brazil,AS Monaco,23,29.5M,37K,Fabinho,2114
209331,Egypt,Liverpool,25,32.5M,135K,M. Salah,2032
208596,Italy,Torino,23,37M,58K,A. Belotti,1935
208448,Sweden,RB Leipzig,25,31.5M,75K,E. Forsberg,1949
207865,Brazil,Paris Saint-Germain,23,30.5M,75K,Marquinhos,1869
207566,Portugal,Sporting CP,25,27.5M,21K,William Carvalho,1967
205600,France,FC Barcelona,23,29.5M,135K,S. Umtiti,2109
204485,Algeria,Leicester City,26,30.5M,88K,R. Mahrez,1935
203376,Netherlands,Southampton,25,27.5M,89K,V. van Dijk,2011
201942,Brazil,Liverpool,25,34M,135K,Roberto Firmino,2101
200888,Portugal,FC Porto,25,27.5M,18K,Danilo Pereira,2029
199715,Spain,UD Las Palmas,27,27M,68K,Vitolo,1983
199482,Portugal,Olympique Lyonnais,26,22.5M,60K,A. Lopes,1317
198176,Netherlands,Lazio,25,29M,56K,S. de Vrij,1783
198009,Italy,Genoa,24,25M,28K,M. Perin,1246
197061,Cameroon,Liverpool,25,26.5M,110K,J. Matip,1884
193474,Senegal,Everton,27,24.5M,115K,I. Gueye,2045
192629,Spain,RC Celta de Vigo,29,26M,39K,Iago Aspas,2012
192366,Argentina,Manchester City,29,20M,140K,N. Otamendi,1886
191202,Serbia,Manchester United,28,21M,140K,N. Matić,2120
191180,Argentina,Paris Saint-Germain,28,25.5M,100K,J. Pastore,2066
189513,Spain,Valencia CF,28,25.5M,45K,Parejo,2089
189358,Japan,Borussia Dortmund,28,26M,75K,S. Kagawa,1874
189125,Italy,Milan,27,26.5M,115K,G. Bonaventura,2197
189068,Netherlands,Sporting CP,28,27M,28K,B. Dost,1809
188377,England,Manchester City,27,24M,130K,K. Walker,2164
188152,Brazil,,25,0,0,Oscar,1961
187936,France,Sevilla FC,28,21M,25K,S. N'Zonzi,2032
186547,Argentina,Milan,26,27M,105K,M. Musacchio,1917
185239,Turkey,Borussia Dortmund,27,24.5M,66K,O. Toprak,1864
185020,Spain,Napoli,30,24.5M,87K,José Callejón,1987
184826,Portugal,,28,0,0,Adrien Silva,2174
184431,Italy,Toronto FC,30,25M,15K,S. Giovinco,1961
184144,Argentina,Atlético Madrid,29,25.5M,70K,N. Gaitán,2006
181783,Croatia,Juventus,31,23.5M,135K,M. Mandžukić,2104
180819,England,Liverpool,29,25M,135K,A. Lallana,2141
179784,Germany,Juventus,29,20M,50K,B. Höwedes,1862
178562,Argentina,Sevilla FC,29,25.5M,27K,E. Banega,2086
178005,Portugal,Sporting CP,29,17.5M,19K,Rui Patrício,1350
177683,Switzerland,Borussia Mönchengladbach,28,21M,39K,Y. Sommer,1299
177358,France,Everton,27,25.5M,115K,M. Schneiderlin,2078
176769,Brazil,SL Benfica,33,16.5M,21K,Jonas,2006
176600,France,Atlético Madrid,30,25M,73K,K. Gameiro,2040
173771,Poland,Borussia Dortmund,32,14.5M,66K,L. Piszczek,2143
170481,Argentina,Valencia CF,30,19M,40K,E. Garay,1952
167905,Ecuador,Manchester United,31,17M,130K,A. Valencia,2185
163587,Denmark,Leicester City,30,19M,65K,K. Schmeichel,1355
162240,Belgium,Tottenham Hotspur,29,25M,115K,M. Dembélé,2186
161956,Spain,Inter,32,20M,80K,Borja Valero,2089
159147,France,AS Saint-Étienne,31,17.5M,46K,L. Perrin,2046
158963,Argentina,Milan,31,17.5M,105K,L. Biglia,2129
146760,Spain,Atlético Madrid,32,14.5M,62K,Juanfran,2080
146748,Spain,RCD Espanyol,35,6M,19K,Diego López,1200
146562,Spain,Arsenal,32,19.5M,130K,Santi Cazorla,2120
142754,Argentina,FC Barcelona,33,10.5M,155K,J. Mascherano,1984
139869,Netherlands,OGC Nice,33,15.5M,47K,W. Sneijder,1976
139068,Portugal,Lazio,30,24.5M,47K,Nani,1949
53302,Italy,Roma,33,10.5M,73K,D. De Rossi,2115
24630,Spain,Napoli,34,10.5M,59K,José Reina,1291
20775,Portugal,Beşiktaş JK,33,15.5M,67K,Quaresma,1962
20289,Ivory Coast,Manchester City,34,12.5M,145K,Y. Touré,2161
5479,Spain,FC Porto,36,3.5M,10K,Casillas,1293
230621,Italy,Milan,18,28.5M,35K,G. Donnarumma,1266
222492,Germany,Manchester City,21,34.5M,125K,L. Sané,2001
219809,France,Chelsea,22,26M,105K,T. Bakayoko,1973
219683,France,FC Bayern Munich,22,30.5M,98K,C. Tolisso,2205
217699,Algeria,Leicester City,29,22M,100K,I. Slimani,1988
216594,France,Olympique Lyonnais,23,28M,70K,N. Fekir,2011
216451,Ivory Coast,OGC Nice,25,26M,45K,J. Seri,2178
215785,Senegal,AS Monaco,22,32.5M,46K,K. Baldé Diao,1929
213331,Germany,Bayer 04 Leverkusen,21,26M,47K,J. Tah,1651
212404,Italy,Juventus,23,30.5M,110K,F. Bernardeschi,1995
212188,Germany,RB Leipzig,21,30.5M,68K,T. Werner,1901
211575,Portugal,FC Barcelona,23,30M,150K,André Gomes,2087
211300,France,Manchester United,21,33M,115K,A. Martial,2053
209658,Germany,FC Schalke 04,22,30M,46K,L. Goretzka,2198
208808,Netherlands,Spartak Moscow,25,28M,76K,Q. Promes,2002
208618,Spain,Real Madrid CF,26,26M,185K,Lucas Vázquez,2005
208421,Spain,Atlético Madrid,22,32M,59K,Saúl,2092
207863,Brazil,FC Porto,28,18M,20K,Felipe,1799
207664,Colombia,Villarreal CF,30,21.5M,125K,C. Bacca,1872
207471,Italy,Sevilla FC,28,22.5M,27K,F. Vázquez,1992
207410,Croatia,Real Madrid CF,23,30M,150K,M. Kovačić,2054
206652,Spain,Sevilla FC,23,21.5M,16K,Sergio Rico,1225
206545,Spain,Villarreal CF,25,27.5M,43K,Manu Trigueros,2117
205452,Germany,Chelsea,24,24.5M,105K,A. Rüdiger,1838
204970,France,Olympique de Marseille,24,28M,40K,F. Thauvin,1966
204639,Montenegro,Atlético Madrid,26,24M,62K,S. Savić,1692
204525,Spain,Real Sociedad,26,24M,37K,Iñigo Martínez,1961
204277,Spain,Swansea City,28,18M,85K,Roque Mesa,2009
203551,Italy,Roma,26,22M,73K,A. Florenzi,2265
203483,Netherlands,Everton,24,27.5M,110K,D. Klaassen,2108
202857,Germany,Bayer 04 Leverkusen,27,23M,67K,K. Bellarabi,1965
202652,England,Manchester City,22,29.5M,140K,R. Sterling,1960
202651,Spain,Milan,23,29.5M,110K,Suso,1911
202477,Spain,FC Barcelona,23,31M,165K,Deulofeu,1946
202335,England,Tottenham Hotspur,23,25M,85K,E. Dier,2045
201862,Argentina,Manchester United,27,21M,130K,M. Rojo,2045
200949,Brazil,Paris Saint-Germain,24,28M,92K,Lucas,2049
200104,Korea Republic,Tottenham Hotspur,24,28M,95K,H. Son,1975
199845,Italy,Sassuolo,29,17M,68K,F. Acerbi,1815
199503,Switzerland,Arsenal,24,27.5M,110K,G. Xhaka,1993
198164,Spain,UD Las Palmas,27,23M,31K,Jonathan Viera,2099
197965,Portugal,SL Benfica,27,23M,19K,Pizzi,2165
195093,Brazil,Real Sociedad,25,29M,42K,Willian José,1923
193698,Germany,TSG 1899 Hoffenheim,27,18M,37K,O. Baumann,1209
193532,Chile,Beşiktaş JK,29,17M,64K,G. Medel,2013
193469,Spain,Villarreal CF,28,20M,43K,Víctor Ruíz,1833
193348,Switzerland,Stoke City,25,28M,85K,X. Shaqiri,2073
193082,Colombia,Juventus,29,21.5M,130K,J. Cuadrado,2111
192387,Italy,Lazio,27,26M,70K,C. Immobile,1948
190483,Brazil,Juventus,26,24M,115K,Douglas Costa,2016
190456,England,Liverpool,26,22M,115K,N. Clyne,2057
189560,Spain,Leicester City,29,17M,85K,Iborra,2062
188943,Germany,Paris Saint-Germain,26,18.5M,71K,K. Trapp,1194
188942,Kenya,Tottenham Hotspur,26,23M,99K,V. Wanyama,2103
188803,Brazil,Shakhtar Donetsk,29,21.5M,1K,Taison,2045
187754,Brazil,Shakhtar Donetsk,29,21.5M,1K,Marlos,2060
187072,Germany,Borussia Mönchengladbach,28,23M,56K,L. Stindl,2173
186627,Italy,OGC Nice,26,24.5M,51K,M. Balotelli,1887
186561,Wales,Arsenal,26,25.5M,130K,A. Ramsey,2114
186153,Poland,Juventus,27,18M,90K,W. Szczęsny,1250
184484,Iceland,Everton,27,23M,130K,G. Sigurðsson,2096
184267,Algeria,FC Porto,27,23M,21K,Y. Brahimi,1971
184200,Austria,West Ham United,28,22.5M,125K,M. Arnautović,2094
183711,England,Liverpool,27,21.5M,115K,J. Henderson,2183
183574,Germany,SV Werder Bremen,29,22M,47K,M. Kruse,2053
183497,Greece,Watford,31,13.5M,30K,O. Karnezis,1212
183376,Serbia,SL Benfica,28,18M,18K,L. Fejsa,1942
182494,Uruguay,Galatasaray SK,31,13.5M,57K,F. Muslera,1370
181786,Croatia,Lokomotiv Moscow,31,15M,54K,V. Ćorluka,1922
181291,Netherlands,Liverpool,26,27M,130K,G. Wijnaldum,2167
179847,Argentina,Roma,30,16.5M,73K,F. Fazio,1611
178509,France,Arsenal,30,21.5M,140K,O. Giroud,1933
178372,Serbia,Zenit St. Petersburg,33,9M,73K,B. Ivanović,1984
178224,Mexico,West Ham United,29,22M,135K,J. Hernández,1917
177600,Spain,Athletic Club de Bilbao,30,20.5M,35K,Beñat,2106
177457,Germany,Bayer 04 Leverkusen,28,20M,64K,L. Bender,2038
177413,Belgium,,28,0,0,A. Witsel,2143
174543,Chile,Manchester City,34,9M,110K,C. Bravo,1464
172723,Bosnia Herzegovina,Bournemouth,30,14M,64K,A. Begović,1233
171919,Brazil,FC Schalke 04,34,6.5M,48K,Naldo,1949
171833,England,Liverpool,27,23.5M,140K,D. Sturridge,1882
169595,England,Tottenham Hotspur,26,21M,99K,D. Rose,2117
169416,Mexico,Real Sociedad,28,22.5M,46K,C. Vela,1963
168354,Italy,Sampdoria,31,13.5M,37K,E. Viviano,1162
167431,Germany,Borussia Dortmund,30,20.5M,72K,G. Castro,2156
165239,France,Antalyaspor,30,21M,29K,S. Nasri,1931
163824,Wales,Everton,32,12.5M,115K,A. Williams,1759
163705,France,Olympique de Marseille,32,12.5M,31K,S. Mandanda,1217
163631,England,Everton,32,12.5M,115K,L. Baines,2211
163489,Italy,Sassuolo,30,14M,52K,A. Consigli,1182
162347,Portugal,AS Monaco,30,20.5M,48K,João Moutinho,2192
158121,France,Girondins de Bordeaux,29,15M,46K,B. Costil,1171
157481,Spain,Napoli,31,15M,73K,Raúl Albiol,1737
150724,England,West Ham United,30,14M,110K,J. Hart,1318
150418,Germany,VfL Wolfsburg,31,20M,85K,M. Gómez,1832
144622,Brazil,Borussia Mönchengladbach,32,17.5M,54K,Raffael,2051
143745,Turkey,FC Barcelona,30,20.5M,170K,A. Turan,2141
135507,Brazil,Manchester City,32,12.5M,130K,Fernandinho,2150
113422,Spain,New York City Football Club,35,10M,12K,David Villa,1997
108080,Switzerland,Juventus,33,8.5M,115K,S. Lichtsteiner,2072
104389,Norway,Hertha BSC Berlin,32,12.5M,30K,R. Jarstein,1185
230666,Brazil,Manchester City,20,31M,115K,Gabriel Jesus,1967
227928,Portugal,FC Barcelona,23,20.5M,125K,Nélson Semedo,2037
227055,Portugal,Sporting CP,22,25M,20K,Gelson Martins,2007
222737,Brazil,Girondins de Bordeaux,20,24.5M,47K,Malcom,1943
222028,Germany,Borussia Dortmund,21,21M,46K,J. Weigl,1940
220793,Colombia,Tottenham Hotspur,21,21.5M,70K,D. Sánchez,1745
216354,Croatia,TSG 1899 Hoffenheim,26,22M,50K,A. Kramarić,1949
216352,Croatia,Inter,24,23M,64K,M. Brozović,2113
216201,Spain,Athletic Club de Bilbao,23,24.5M,31K,Williams,1953
216194,Spain,SD Eibar,27,17M,26K,Dani García,1938
213661,Denmark,Chelsea,21,23M,86K,A. Christensen,1720
212622,Germany,FC Bayern Munich,22,20.5M,81K,J. Kimmich,2158
211368,Portugal,RB Leipzig,22,24M,63K,Bruma,1982
210935,Italy,Sassuolo,22,24.5M,62K,D. Berardi,1996
210896,France,Olympique de Marseille,22,24M,34K,M. Sanson,2183
210008,France,Paris Saint-Germain,22,23.5M,77K,A. Rabiot,2097
209889,Portugal,Borussia Dortmund,23,24M,58K,R. Guerreiro,2171
208830,England,Leicester City,30,17M,89K,J. Vardy,2047
208670,Morocco,Ajax,24,23M,16K,H. Ziyech,2043
207599,England,Everton,24,21M,91K,M. Keane,1888
205498,Italy,Napoli,25,22M,71K,Jorginho,2114
203747,Spain,Arsenal,22,21M,91K,Héctor Bellerín,2005
203042,England,Stoke City,24,18M,50K,J. Butland,1225
202685,Italy,Valencia CF,26,21M,44K,S. Zaza,1971
202371,Belgium,Paris Saint-Germain,25,18.5M,77K,T. Meunier,2141
201995,Brazil,Lazio,24,24M,57K,Felipe Anderson,2043
201400,Brazil,FC Barcelona,24,23.5M,140K,Rafinha,2078
200724,Spain,Real Madrid CF,27,17.5M,145K,Nacho Fernández,1838
199987,Netherlands,FC Barcelona,28,15M,125K,J. Cillessen,1287
199564,Spain,FC Barcelona,25,19.5M,140K,Sergi Roberto,2071
199451,France,Sevilla FC,26,21M,26K,W. Ben Yedder,2015
199354,Spain,RC Deportivo de La Coruña,28,18.5M,135K,Lucas Pérez,2005
199189,England,Everton,23,24M,105K,R. Barkley,2021
198951,DR Congo,Villarreal CF,26,22.5M,45K,C. Bakambu,1967
198717,Ivory Coast,Crystal Palace,24,22.5M,60K,W. Zaha,1897
198141,Spain,Borussia Dortmund,26,18M,61K,Bartra,2010
197853,Ivory Coast,Tottenham Hotspur,24,19M,79K,S. Aurier,2136
197655,Uruguay,Sporting CP,26,18M,21K,S. Coates,1723
197242,Poland,West Bromwich Albion,27,17.5M,81K,G. Krychowiak,1992
195365,Slovenia,RB Leipzig,26,21M,73K,K. Kampl,2030
195086,Croatia,Liverpool,27,17.5M,110K,D. Lovren,1739
194794,Ukraine,Borussia Dortmund,27,18.5M,72K,A. Yarmolenko,2024
193738,Morocco,Galatasaray SK,27,18.5M,71K,Y. Belhanda,2133
193525,Russia,CSKA Moscow,26,17M,52K,Mário Fernandes,2086
193352,Switzerland,Milan,24,18.5M,83K,R. Rodríguez,2179
193165,Mexico,FC Porto,24,23M,17K,J. Corona,1969
192789,Spain,Villarreal CF,26,18M,38K,Mario Gaspar,2092
192638,Spain,Chelsea,26,17.5M,115K,Marcos Alonso,2118
192318,Germany,Borussia Dortmund,25,22.5M,63K,M. Götze,1972
190941,Finland,Eintracht Frankfurt,27,14.5M,28K,L. Hrádecký,1122
190584,Spain,Real Sociedad,27,18M,37K,Illarramendi,2043
190149,Spain,Athletic Club de Bilbao,28,14M,31K,De Marcos,2101
189881,England,Manchester United,27,17M,120K,C. Smalling,1826
189574,Spain,Athletic Club de Bilbao,28,17.5M,33K,Iturraspe,1957
189461,England,Arsenal,25,22M,115K,J. Wilshere,2102
189251,Germany,FC Bayern Munich,27,20M,105K,S. Rudy,2119
188988,Argentina,West Ham United,24,24.5M,95K,M. Lanzini,1926
188388,Algeria,Real Betis Balompié,27,20.5M,32K,R. Boudebouz,1987
188005,Spain,VfL Wolfsburg,27,18M,66K,Camacho,2026
187961,Brazil,FC Barcelona,28,17.5M,165K,Paulinho,2168
185431,Croatia,Milan,29,18M,84K,N. Kalinić,1892
184942,Brazil,Fenerbahçe SK,27,20.5M,80K,Giuliano,2037
184111,Belgium,Crystal Palace,26,22M,75K,C. Benteke,1872
183900,Argentina,Roma,28,18M,84K,D. Perotti,1921
183498,Italy,Lazio,32,13.5M,60K,M. Parolo,2150
183483,Greece,Olympique de Marseille,29,18M,44K,K. Mitroglou,1800
183285,France,Crystal Palace,27,17M,63K,M. Sakho,1728
183280,France,Olympique de Marseille,31,12M,35K,A. Rami,1725
181820,Montenegro,AS Monaco,27,21M,48K,S. Jovetić,1977
180216,Republic of Ireland,Everton,28,14M,115K,S. Coleman,2064
179645,Denmark,Sevilla FC,28,16M,23K,S. Kjær,1869
178086,Spain,Real Betis Balompié,30,11.5M,24K,Adán,1273
177326,France,Fenerbahçe SK,32,14M,86K,M. Valbuena,1932
173426,Belgium,Liverpool,29,12M,91K,S. Mignolet,1266
173198,Italy,Fiorentina,30,13M,68K,D. Astori,1656
172175,Belgium,Everton,29,17.5M,125K,K. Mirallas,2059
171579,Spain,Athletic Club de Bilbao,30,17M,32K,Raúl García,2124
166706,Slovakia,Fenerbahçe SK,32,10M,73K,M. Škrtel,1666
163264,England,Burnley,31,11M,51K,T. Heaton,1271
161648,France,Paris Saint-Germain,30,17M,88K,H. Ben Arfa,1997
158625,Brazil,OGC Nice,33,7M,39K,Dante,1846
153244,France,Tigres U.A.N.L.,31,16M,84K,A. Gignac,2001
146954,Spain,Atlético Madrid,33,10.5M,62K,Gabi,2116
142780,Argentina,San Lorenzo de Almagro,33,7M,27K,G. Rodríguez,1856
139997,Croatia,Shakhtar Donetsk,35,3.8M,1K,D. Srna,2205
121944,Germany,Chicago Fire Soccer Club,32,13.5M,13K,B. Schweinsteiger,2134
116494,France,Galatasaray SK,35,4.2M,34K,C. Carrasso,1175
110677,Spain,Atlético Madrid,33,9M,46K,Moyá,1184
54050,England,Everton,31,15.5M,120K,W. Rooney,2127
53612,Germany,Arsenal,32,10M,110K,P. Mertesacker,1558
49370,Italy,Paris Saint-Germain,34,5.5M,81K,T. Motta,1972
49369,Spain,Atlético Madrid,33,11M,68K,Fernando Torres,1884
9676,Cameroon,Antalyaspor,36,6.5M,22K,S. Eto'o,2029
231677,England,Manchester United,19,22M,74K,M. Rashford,2006
223848,Serbia,Lazio,22,20M,52K,S. Milinković-Savić,2093
216393,Belgium,AS Monaco,20,23.5M,35K,Y. Tielemans,2099
215792,Brazil,AS Monaco,24,17.5M,35K,Jemerson,1700
213296,Algeria,FC Schalke 04,22,19.5M,42K,N. Bentaleb,2071
212831,Brazil,Roma,24,14M,45K,Alisson,1194
212462,Brazil,FC Porto,24,16M,15K,Alex Telles,2159
212194,Germany,Bayer 04 Leverkusen,21,22M,49K,J. Brandt,1847
211748,Germany,TSG 1899 Hoffenheim,23,19.5M,40K,K. Demirbay,2054
211320,Italy,Juventus,22,19M,88K,D. Rugani,1691
210617,Spain,Villarreal CF,22,20M,36K,Samu Castillejo,1896
210406,Poland,Napoli,23,20.5M,64K,P. Zieliński,2037
210243,Portugal,FC Porto,23,17M,15K,Ricardo Pereira,2120
210035,Spain,SL Benfica,21,17.5M,12K,Grimaldo,2092
209297,Brazil,Shakhtar Donetsk,24,19.5M,1K,Fred,2123
