ID,Crossing,Balance,Aggression,Composure,Ballcontrol,Acceleration,Agility,Overall
227055,79,94,57,84,83,95,94,81
222737,79,84,51,76,83,86,93,81
222028,58,65,64,80,81,74,77,81
220793,36,55,85,72,64,65,62,81
216354,70,77,73,77,84,78,79,81
216352,72,74,68,78,84,72,74,81
216201,78,43,66,71,81,92,78,81
216194,55,72,88,71,81,57,67,81
213661,49,62,73,74,72,70,60,81
212622,88,83,74,78,83,76,83,81
211368,76,90,64,73,83,94,93,81
210935,76,73,80,74,86,85,87,81
210896,79,69,76,77,80,77,83,81
210008,69,50,74,81,82,72,75,81
209889,85,86,69,75,83,83,88,81
208830,63,77,92,79,76,91,78,81
208670,86,60,66,78,80,74,77,81
207599,60,64,68,75,71,73,63,81
205498,70,73,78,75,84,74,82,81
203747,76,77,72,72,79,96,84,81
203042,11,35,32,59,26,38,48,81
202685,52,69,85,68,80,79,77,81
202371,81,49,73,78,80,72,63,81
201995,79,88,67,82,86,94,90,81
201400,72,81,44,76,84,74,80,81
200724,70,68,74,73,74,72,60,81
199987,17,50,25,56,32,54,48,81
199564,81,74,64,72,80,76,69,81
199451,73,86,55,82,83,84,91,81
199354,74,75,67,76,82,80,74,81
199189,65,58,73,80,87,77,70,81
198951,74,69,62,73,82,86,80,81
198717,79,79,68,76,86,89,89,81
198141,55,71,79,76,78,78,73,81
197853,80,78,83,75,77,84,76,81
197655,17,31,82,74,63,50,33,81
197242,59,52,87,83,75,62,59,81
195365,64,81,64,83,82,86,91,81
195086,59,43,87,70,67,57,53,81
194794,82,69,67,71,84,81,76,81
193738,79,77,75,72,83,77,87,81
193525,76,55,77,76,76,79,79,81
193352,87,72,75,81,78,73,73,81
193165,73,87,45,85,84,87,90,81
192789,79,60,77,71,75,78,69,81
192638,81,58,72,75,79,74,68,81
192318,77,85,48,85,90,71,86,81
190941,11,39,31,48,19,38,43,81
190584,65,73,77,71,81,65,70,81
190149,78,74,76,76,81,83,77,81
189881,52,48,83,71,58,69,60,81
189574,57,43,66,71,80,57,53,81
189461,73,85,82,80,84,73,80,81
189251,73,73,58,81,84,74,79,81
188988,74,88,47,75,86,85,88,81
188388,82,75,58,79,81,77,79,81
188005,50,63,86,76,75,64,71,81
187961,64,64,69,79,81,76,70,81
185431,60,58,70,78,79,69,69,81
184942,73,85,71,82,82,83,85,81
184111,58,48,63,78,80,70,69,81
183900,79,79,51,81,87,84,80,81
183498,70,71,80,78,79,68,67,81
183483,60,34,83,80,78,53,50,81
183285,60,53,86,71,61,53,61,81
183280,28,50,83,77,64,49,57,81
181820,72,69,50,80,88,75,80,81
180216,81,74,78,78,78,74,76,81
179645,54,58,80,72,67,60,48,81
178086,12,51,41,56,15,55,55,81
177326,79,93,52,64,82,81,87,81
173426,11,42,34,66,24,55,34,81
173198,34,48,77,74,66,66,57,81
172175,81,73,58,74,85,82,82,81
171579,77,63,84,83,84,54,65,81
166706,39,52,80,71,59,54,52,81
163264,17,52,31,56,28,56,54,81
161648,74,79,61,78,83,79,85,81
158625,60,64,73,77,73,44,53,81
153244,72,59,80,80,73,74,66,81
146954,67,73,82,83,79,62,74,81
142780,38,60,80,78,70,65,64,81
139997,85,65,83,81,83,69,71,81
121944,76,63,80,88,80,40,66,81
116494,11,35,43,60,22,38,39,81
110677,11,49,22,39,24,46,54,81
54050,78,77,81,88,80,67,71,81
53612,38,28,68,87,64,26,27,81
49370,66,50,93,80,81,31,42,81
49369,68,54,62,69,81,74,74,81
9676,69,74,75,84,78,73,78,81
231677,72,78,67,74,79,93,90,80
223848,56,59,73,76,84,68,66,80
216393,76,76,70,81,81,52,67,80
215792,30,58,76,76,63,64,63,80
213296,65,72,74,80,81,66,76,80
212831,17,37,27,62,21,44,30,80
212462,85,70,78,76,78,82,78,80
212194,74,75,42,59,83,79,81,80
211748,72,77,69,75,84,67,78,80
211320,40,53,70,70,65,54,59,80
210617,82,78,48,70,81,86,84,80
210406,77,76,56,74,84,82,77,80
210243,80,78,75,81,78,89,84,80
210035,78,81,65,77,81,87,82,80
209297,67,87,73,79,84,80,84,80
208334,79,67,72,80,81,76,67,80
208333,70,71,83,74,80,69,73,80
207993,74,55,91,70,69,73,52,80
206585,25,39,18,26,16,34,41,80
206467,76,78,59,75,77,80,78,80
206413,63,73,84,81,78,71,60,80
206273,74,78,70,76,82,85,83,80
205976,69,67,38,71,81,77,78,80
205362,46,58,78,78,64,66,64,80
205192,77,76,47,70,85,80,83,80
204529,65,78,61,81,77,77,78,80
204082,36,51,76,77,62,69,60,80
203888,30,36,76,71,64,35,35,80
203775,14,43,18,34,23,51,51,80
203486,85,81,62,78,82,85,91,80
203280,75,77,65,78,80,78,91,80
201510,83,75,75,76,80,81,77,80
200647,78,56,58,78,87,68,70,80
200610,78,84,75,80,81,78,73,80
199914,70,82,85,77,78,78,79,80
199827,54,52,87,67,80,72,72,80
199434,79,80,56,77,85,70,81,80
199110,60,77,50,70,85,87,86,80
198950,81,81,32,70,82,74,81,80
198784,75,88,66,73,82,87,84,80
198118,52,50,83,74,73,66,54,80
196934,77,83,73,82,81,76,88,80
195861,68,73,82,78,77,69,72,80
194879,70,66,66,67,80,63,68,80
194404,11,49,40,52,24,53,59,80
194229,84,66,76,70,80,73,78,80
193886,75,73,70,75,84,75,74,80
193361,77,72,77,75,82,77,83,80
193130,76,76,66,75,79,84,77,80
193116,61,65,85,74,75,67,63,80
193061,78,75,66,78,83,78,79,80
192641,60,49,81,71,71,66,59,80
192492,78,66,54,75,83,82,85,80
191687,70,45,88,71,60,58,34,80
190972,78,84,67,78,80,88,86,80
190815,80,75,70,83,80,63,72,80
190813,70,82,54,74,86,86,85,80
190717,73,76,75,70,78,82,86,80
190264,78,86,48,78,85,80,85,80
189250,48,48,74,76,78,73,69,80
189156,61,68,88,81,69,54,59,80
188802,79,63,81,72,71,75,66,80
188253,68,71,79,75,74,72,66,80
187735,77,72,69,80,82,81,71,80
187688,83,56,56,80,83,36,71,80
187491,56,66,67,73,78,89,75,80
186146,69,63,75,76,78,83,82,80
185221,61,62,88,76,72,65,65,80
185132,47,55,74,70,79,38,47,80
184392,71,78,76,76,75,78,80,80
184190,50,50,74,76,72,55,54,80
183909,80,93,53,79,78,92,94,80
182002,56,45,77,71,76,42,51,80
178416,82,81,53,76,81,87,75,80
178311,72,80,60,78,85,86,81,80
177644,24,58,45,51,20,32,43,80
177604,78,74,74,76,77,74,73,80
177458,43,61,82,81,60,67,63,80
176930,74,94,78,70,80,65,79,80
176915,70,75,80,81,81,67,75,80
176733,56,71,61,75,77,74,71,80
176376,68,81,80,83,85,79,87,80
176104,78,68,55,80,86,72,68,80
175379,90,73,55,71,85,64,68,80
173909,75,68,82,80,83,73,77,80
173521,49,56,79,70,65,67,58,80
173432,64,62,78,76,68,66,66,80
173373,11,44,33,63,40,47,52,80
173221,85,76,66,73,84,77,74,80
173208,79,65,79,75,73,78,68,80
172522,78,59,59,71,81,73,78,80
172316,81,70,74,63,79,75,68,80
171897,73,88,72,76,84,76,82,80
170370,83,81,59,65,85,68,74,80
170368,76,70,74,75,82,78,77,80
169705,82,68,73,76,79,79,76,80
169195,79,66,53,68,84,66,66,80
168530,46,34,85,71,56,55,34,80
167553,73,70,82,61,69,86,69,80
167514,78,68,76,78,78,77,70,80
165536,35,63,84,71,61,43,59,80
165526,30,40,84,74,55,49,46,80
164859,74,79,65,78,78,92,83,80
164835,14,44,43,63,22,50,52,80
163155,15,50,15,67,25,50,45,80
162369,65,59,83,79,76,53,65,80
162329,60,72,84,84,82,66,74,80
158232,69,78,35,79,85,69,77,80
157960,79,76,68,77,83,83,82,80
156713,49,36,81,78,63,46,55,80
150516,75,72,70,79,78,79,69,80
146460,59,60,87,86,74,61,64,80
143587,81,74,73,85,80,70,78,80
140293,10,50,32,65,21,44,50,80
139968,10,59,39,24,23,49,58,80
139668,13,51,36,64,20,55,60,80
138449,74,64,45,85,83,63,68,80
138412,85,73,79,86,78,69,72,80
134744,70,62,69,82,80,68,67,80
124635,56,62,70,75,79,67,66,80
112316,79,39,80,76,65,67,55,80
111661,12,57,34,57,14,44,65,80
53914,55,62,79,76,62,47,51,80
52091,78,87,83,80,75,73,78,80
50542,54,88,63,84,77,77,83,80
48717,18,56,37,68,32,39,69,80
21146,72,62,64,88,79,43,58,80
230977,70,74,65,69,79,90,87,79
230142,81,69,40,69,82,71,72,79
227476,52,77,90,79,77,82,74,79
225647,21,44,25,37,27,40,40,79
225018,62,69,83,86,76,79,78,79
224334,86,84,74,82,79,85,84,79
221660,48,47,80,70,62,68,64,79
221130,20,47,37,46,30,53,43,79
220440,36,53,80,74,75,72,50,79
218339,67,78,68,59,82,78,87,79
216150,79,77,75,72,73,78,75,79
215466,45,58,77,70,61,62,51,79
215259,81,68,44,71,77,90,78,79
215057,58,60,81,73,73,57,58,79
215051,33,55,79,75,65,64,64,79
214997,64,83,41,71,85,85,87,79
213345,77,84,36,73,79,93,87,79
213150,20,41,27,24,23,49,36,79
212886,74,75,78,79,81,78,81,79
212602,55,51,75,69,76,59,59,79
212523,78,60,65,74,77,73,73,79
212501,75,62,75,74,73,66,59,79
212150,74,90,61,78,82,79,91,79
211688,81,82,74,70,76,83,80,79
211381,70,85,47,69,86,83,90,79
211354,72,67,74,75,78,69,75,79
211256,67,82,73,73,75,92,83,79
210864,76,69,79,73,74,78,76,79
210514,80,74,69,69,79,93,78,79
210413,36,53,82,74,65,64,58,79
208777,72,81,58,82,82,75,85,79
208128,78,76,57,72,80,71,76,79
208093,61,69,41,70,78,79,71,79
207948,68,72,57,75,86,85,86,79
207441,66,88,66,71,85,76,78,79
207439,74,77,79,74,82,75,77,79
206511,63,69,66,73,79,67,73,79
206113,72,88,63,71,79,92,85,79
205988,80,75,74,75,78,80,78,79
205678,76,88,47,77,79,90,92,79
205525,77,96,41,71,84,94,92,79
205407,74,75,65,74,83,70,79,79
205175,58,63,67,72,76,70,68,79
205069,82,88,71,70,83,84,86,79
204638,38,58,78,71,61,55,48,79
204523,62,76,60,69,80,65,76,79
204311,54,52,83,71,66,63,45,79
204024,61,54,78,77,79,53,67,79
203890,82,72,70,67,75,80,67,79
203757,45,61,76,72,81,80,64,79
203574,62,57,73,79,77,71,64,79
202849,46,28,81,70,56,47,30,79
202642,60,81,80,70,76,70,74,79
202556,67,83,62,76,80,90,82,79
201988,23,48,78,71,66,48,48,79
201956,57,37,84,74,68,62,60,79
201858,68,87,68,76,80,84,87,79
201533,77,75,75,63,83,88,85,79
201454,80,62,74,72,75,74,68,79
201377,56,69,88,73,64,73,78,79
201305,67,68,78,68,65,64,66,79
201262,77,88,56,74,82,74,83,79
201118,81,83,75,69,76,84,76,79
201049,40,79,85,74,58,72,72,79
201046,76,71,52,76,85,71,71,79
201042,79,67,76,75,77,78,68,79
200641,78,78,48,74,81,86,81,79
200458,78,80,75,71,79,79,71,79
200454,53,78,59,69,79,72,76,79
199977,57,40,65,70,81,40,62,79
199952,77,90,52,71,82,76,86,79
199852,68,64,60,83,80,76,65,79
199576,37,58,88,75,72,63,60,79
199561,77,81,73,82,80,74,83,79
199550,71,62,86,69,64,54,53,79
198683,70,56,57,71,82,74,73,79
198077,78,81,58,72,79,86,85,79
197948,51,58,87,70,66,42,60,79
195363,40,45,81,67,63,62,52,79
194957,64,61,85,72,68,51,42,79
194911,12,48,38,36,23,46,53,79
194174,83,77,54,70,80,80,78,79
193887,79,68,85,82,82,83,76,79
193171,79,82,81,69,78,83,80,79
193105,20,58,26,35,22,54,53,79
192679,81,77,75,69,76,72,75,79
192565,76,81,48,81,82,78,83,79
192086,68,72,67,78,80,85,82,79
191210,79,78,76,70,77,77,76,79
190875,68,54,86,78,77,69,75,79
190778,17,42,18,61,34,57,54,79
190544,72,79,44,75,86,82,81,79
190286,74,69,55,69,82,65,70,79
190243,12,31,25,42,17,41,45,79
190223,81,68,76,69,78,73,68,79
189963,45,71,68,77,75,63,67,79
189433,47,49,76,69,63,54,47,79
189271,60,81,91,74,78,65,74,79
189169,61,53,79,75,78,72,59,79
188955,69,76,52,78,79,76,74,79
188524,12,50,29,41,19,49,58,79
188428,46,70,62,80,77,90,70,79
187457,74,66,68,72,80,73,77,79
187347,74,76,65,73,72,84,80,79
187324,40,60,84,74,55,68,57,79
186307,74,86,64,76,81,76,88,79
186148,15,41,32,61,22,46,43,79
186132,64,78,74,77,79,67,70,79
185103,89,58,85,85,75,64,63,79
184949,83,73,76,70,82,86,74,79
184881,78,76,53,63,82,83,86,79
184477,44,60,92,68,52,61,53,79
184069,49,50,88,72,74,53,53,79
183899,79,91,55,68,80,88,85,79
183893,34,68,85,79,76,49,59,79
183855,51,54,70,73,59,69,60,79
183666,15,40,29,54,31,45,68,79
183108,80,76,67,69,79,83,88,79
181402,64,73,85,78,76,72,65,79
180334,26,47,73,76,65,61,49,79
178424,81,76,75,70,77,78,78,79
177723,15,54,33,65,35,59,64,79
177578,44,29,85,68,57,38,30,79
177519,50,58,75,70,74,67,59,79
177159,79,74,74,72,77,84,76,79
176993,68,85,30,74,78,78,84,79
176944,61,52,94,78,84,50,49,79
176731,58,55,89,76,74,54,53,79
176571,77,81,78,74,79,76,86,79
176550,11,50,20,29,32,34,44,79
176285,28,43,82,71,57,67,57,79
176266,63,72,83,78,73,50,70,79
173474,85,91,76,78,80,77,86,79
173306,78,66,80,81,78,77,79,79
172962,75,83,45,75,80,84,80,79
172290,69,57,70,71,79,67,72,79
172114,78,73,53,80,78,63,72,79
171791,36,54,84,69,62,44,58,79
170797,80,74,68,84,81,58,76,79
170733,75,76,51,71,78,91,88,79
170369,73,90,53,76,83,87,88,79
169596,33,53,87,69,54,46,62,79
169588,52,57,78,72,70,65,50,79
168435,13,55,34,55,18,50,52,79
168320,71,68,62,77,82,77,72,79
167943,72,77,78,79,82,62,71,79
166072,30,60,78,74,60,49,46,79
165501,65,61,83,83,78,42,45,79
165109,67,67,75,76,69,72,70,79
160741,44,54,80,78,58,76,61,79
159240,82,78,67,73,78,69,76,79
159171,80,72,46,68,81,72,80,79
159145,61,58,52,82,78,66,59,79
156519,63,70,79,75,76,73,66,79
148711,50,32,75,81,58,32,32,79
148122,59,45,80,75,49,52,34,79
148119,19,45,24,68,22,51,53,79
147782,67,75,87,76,78,67,77,79
147621,80,73,73,74,78,81,78,79
146482,88,51,57,78,82,45,52,79
146439,50,60,78,69,75,62,67,79
142902,13,32,35,52,12,44,58,79
142784,74,66,89,76,75,61,69,79
140233,15,42,19,57,18,47,65,79
139062,12,55,30,56,30,44,39,79
137809,57,82,72,76,77,76,77,79
137677,13,53,23,65,35,57,67,79
137351,73,75,67,84,80,63,77,79
135451,15,53,40,63,25,50,56,79
121933,13,43,25,49,20,46,49,79
49031,11,48,22,66,20,34,52,79
8473,77,80,74,84,83,76,78,79
7763,91,64,49,86,86,37,44,79
6826,80,60,80,81,76,30,43,79
80,83,84,87,77,81,54,68,79
229909,16,50,26,66,17,58,36,78
228941,59,72,76,70,78,75,77,78
228687,42,70,44,80,79,73,75,78
227950,48,76,79,78,73,66,55,78
227796,65,92,44,64,79,93,91,78
227234,61,68,86,73,73,69,64,78
226753,15,53,23,33,38,64,68,78
225199,73,88,85,78,79,78,86,78
225028,44,52,74,68,74,57,58,78
223874,62,91,51,75,80,69,79,78
223627,66,69,67,71,76,74,69,78
223061,70,90,60,81,79,91,92,78
223033,30,74,75,46,69,69,67,78
222943,80,82,58,75,76,86,84,78
222558,78,65,83,68,75,86,65,78
222509,70,73,76,71,83,72,72,78
221992,74,76,42,76,77,94,92,78
221540,56,52,90,75,59,54,59,78
221087,24,57,39,36,16,45,40,78
219985,68,56,72,70,79,68,66,78
219932,67,75,32,76,83,79,81,78
219576,58,67,83,77,76,65,67,78
219411,70,83,27,73,78,93,90,78
217877,78,75,30,68,81,85,86,78
216778,38,51,87,69,63,68,66,78
216547,73,85,40,77,80,91,91,78
216475,76,66,58,67,77,89,79,78
216189,77,86,88,69,77,85,76,78
216065,13,58,23,49,22,48,55,78
215333,44,58,58,73,76,69,64,78
215061,61,66,64,74,73,78,76,78
213582,78,72,48,83,85,61,72,78
213400,77,77,65,76,78,86,82,78
213135,69,61,69,70,75,82,75,78
212977,54,63,76,65,72,75,61,78
212911,75,69,42,78,79,92,86,78
212230,79,92,67,79,79,84,88,78
212198,76,79,62,80,81,79,82,78
